,0
2020-06-01,1759897.0
2020-06-02,1782086.0
2020-06-03,1804228.0
2020-06-04,1826097.0
2020-06-05,1848458.0
2020-06-06,1870946.0
2020-06-07,1893354.0
2020-06-08,1915164.0
2020-06-09,1936640.0
2020-06-10,1958209.0
2020-06-11,1980012.0
2020-06-12,2001403.0
2020-06-13,2023242.0
2020-06-14,2045455.0
2020-06-15,2068033.0
2020-06-16,2091847.0
2020-06-17,2116408.0
2020-06-18,2141909.0
2020-06-19,2168601.0
2020-06-20,2196431.0
2020-06-21,2225338.0
2020-06-22,2255465.0
2020-06-23,2287030.0
2020-06-24,2320541.0
2020-06-25,2356043.0
2020-06-26,2393731.0
2020-06-27,2433226.0
2020-06-28,2474633.0
2020-06-29,2517241.0
2020-06-30,2561449.0
2020-07-01,2607534.0
2020-07-02,2655578.0
2020-07-03,2705191.0
2020-07-04,2755382.0
2020-07-05,2805742.0
2020-07-06,2857290.0
2020-07-07,2909970.0
2020-07-08,2963996.0
2020-07-09,3019180.0
2020-07-10,3075742.0
2020-07-11,3134282.0
2020-07-12,3195185.0
2020-07-13,3257503.0
2020-07-14,3321580.0
2020-07-15,3386036.0
2020-07-16,3451424.0
2020-07-17,3518107.0
2020-07-18,3584953.0
2020-07-19,3651967.0
2020-07-20,3719058.0
2020-07-21,3785437.0
2020-07-22,3851869.0
2020-07-23,3917571.0
2020-07-24,3982434.0
2020-07-25,4046966.0
2020-07-26,4110778.0
2020-07-27,4173998.0
2020-07-28,4236666.0
2020-07-29,4298868.0
2020-07-30,4360868.0
2020-07-31,4421874.0
2020-08-01,4482242.0
2020-08-02,4541723.0
2020-08-03,4599707.0
2020-08-04,4656834.0
2020-08-05,4712825.0
2020-08-06,4767169.0
2020-08-07,4820598.0
2020-08-08,4873020.0
2020-08-09,4924817.0
2020-08-10,4976043.0
2020-08-11,5026543.0
2020-08-12,5076507.0
2020-08-13,5125729.0
2020-08-14,5173831.0
2020-08-15,5221329.0
2020-08-16,5267658.0
2020-08-17,5313730.0
2020-08-18,5358609.0
2020-08-19,5402394.0
2020-08-20,5445196.0
2020-08-21,5487133.0
2020-08-22,5528256.0
2020-08-23,5568707.0
2020-08-24,5608981.0
2020-08-25,5648929.0
2020-08-26,5689076.0
2020-08-27,5729545.0
2020-08-28,5769816.0
2020-08-29,5809936.0
2020-08-30,5850238.0
2020-08-31,5890236.0
2020-09-01,5930633.0
2020-09-02,5970253.0
2020-09-03,6009570.0
2020-09-04,6049334.0
2020-09-05,6089055.0
2020-09-06,6128422.0
2020-09-07,6167023.0
2020-09-08,6203170.0
2020-09-09,6238674.0
2020-09-10,6273376.0
2020-09-11,6307598.0
2020-09-12,6341361.0
