,0
2020-05-25,1673977
2020-05-26,1691555
2020-05-27,1713253
2020-05-28,1737092
2020-05-29,1762529
2020-05-30,1785424
2020-05-31,1804340
2020-06-01,1825083
2020-06-02,1846878
2020-06-03,1868250
2020-06-04,1890173
2020-06-05,1919057
2020-06-06,1942844
2020-06-07,1961192
2020-06-08,1977756
2020-06-09,1997208
2020-06-10,2019231
2020-06-11,2042796
2020-06-12,2068797
2020-06-13,2095714
2020-06-14,2116683
2020-06-15,2135801
2020-06-16,2163908
2020-06-17,2191156
2020-06-18,2221307
2020-06-19,2255640
2020-06-20,2290523
2020-06-21,2319028
2020-06-22,2346696
2020-06-23,2384860
2020-06-24,2425731
2020-06-25,2469820
2020-06-26,2519457
2020-06-27,2566991
2020-06-28,2608875
2020-06-29,2644956
2020-06-30,2694312
2020-07-01,2748327
2020-07-02,2806125
2020-07-03,2866754
2020-07-04,2918327
2020-07-05,2961395
2020-07-06,3005789
2020-07-07,3063072
2020-07-08,3126511
2020-07-09,3192412
2020-07-10,3262685
2020-07-11,3328112
2020-07-12,3387712
2020-07-13,3442018
2020-07-14,3511610
2020-07-15,3577705
2020-07-16,3650129
2020-07-17,3729460
2020-07-18,3796034
2020-07-19,3856816
2020-07-20,3911651
2020-07-21,3976266
2020-07-22,4042729
2020-07-23,4110042
2020-07-24,4183500
2020-07-25,4247760
2020-07-26,4303499
2020-07-27,4354188
2020-07-28,4414944
2020-07-29,4478146
2020-07-30,4544039
2020-07-31,4610541
2020-08-01,4670339
2020-08-02,4719867
2020-08-03,4760076
2020-08-04,4814830
2020-08-05,4870082
2020-08-06,4924448
2020-08-07,4984543
2020-08-08,5037296
2020-08-09,5082446
2020-08-10,5118655
2020-08-11,5168334
2020-08-12,5219825
2020-08-13,5269001
2020-08-14,5321261
2020-08-15,5369778
2020-08-16,5406755
2020-08-17,5441156
2020-08-18,5482489
2020-08-19,5526317
2020-08-20,5568617
2020-08-21,5614820
2020-08-22,5657641
2020-08-23,5689908
2020-08-24,5723072
2020-08-25,5762129
2020-08-26,5807342
2020-08-27,5851905
2020-08-28,5896714
2020-08-29,5938481
2020-08-30,5972021
2020-08-31,6003057
2020-09-01,6044910
2020-09-02,6084681
2020-09-03,6127125
2020-09-04,6175066
2020-09-05,6216526
2020-09-06,6247589
2020-09-07,6273262
2020-09-08,6297939
2020-09-09,6333208
2020-09-10,6370043
2020-09-11,6414617
2020-09-12,6452866
2020-09-13,6485334
2020-09-14,6518526
2020-09-15,6556977
2020-09-16,6599417
2020-09-17,6643428
2020-09-18,6688788
2020-09-19,6731215
2020-09-20,6763219
2020-09-21,6802812
2020-09-22,6854475
2020-09-23,6894327
2020-09-24,6938431
2020-09-25,6993575
2020-09-26,7037982
2020-09-27,7069807
2020-09-28,7105453
2020-09-29,7144914
2020-09-30,7191626
2020-10-01,7238678
2020-10-02,7286404
2020-10-03,7336811
2020-10-04,7371498
2020-10-05,7408589
2020-10-06,7452887
2020-10-07,7504648
2020-10-08,7561231
2020-10-09,7618205
2020-10-10,7668387
2020-10-11,7712473
2020-10-12,7758835
2020-10-13,7811303
2020-10-14,7869353
2020-10-15,7936901
2020-10-16,8004288
2020-10-17,8061822
2020-10-18,8110024
2020-10-19,8166698
2020-10-20,8226360
2020-10-21,8289604
2020-10-22,8365540
2020-10-23,8445874
2020-10-24,8515412
2020-10-25,8578637
2020-10-26,8650019
2020-10-27,8721867
2020-10-28,8805390
2020-10-29,8894252
2020-10-30,8990199
2020-10-31,9072426
2020-11-01,9214833
2020-11-02,9306955
2020-11-03,9406618
2020-11-04,9518980
2020-11-05,9651604
2020-11-06,9780880
2020-11-07,9893150
2020-11-08,10000648
2020-11-09,10133707
2020-11-10,10280372
2020-11-11,10437353
2020-11-12,10589003
2020-11-13,10766188
2020-11-14,10937599
2020-11-15,11071050
2020-11-16,11224810
2020-11-17,11382704
2020-11-18,11551643
2020-11-19,11748324
2020-11-20,11933543
2020-11-21,12142459
2020-11-22,12280817
2020-11-23,12449233
2020-11-24,12629420
2020-11-25,12815908
2020-11-26,12942892
2020-11-27,13129356
2020-11-28,13301106
2020-11-29,13424933
2020-11-30,13580887
2020-12-01,13787187
2020-12-02,14010485
2020-12-03,14233644
2020-12-04,14468110
2020-12-05,14681324
2020-12-06,14847602
2020-12-07,15027940
2020-12-08,15264272
2020-12-09,15499789
2020-12-10,15728458
2020-12-11,15966542
2020-12-12,16185597
2020-12-13,16363412
2020-12-14,16552423
2020-12-15,16764684
2020-12-16,16998180
2020-12-17,17231388
2020-12-18,17469570
2020-12-19,17685162
2020-12-20,17848765
2020-12-21,18010051
2020-12-22,18204174
2020-12-23,18416088
2020-12-24,18609135
2020-12-25,18704673
2020-12-26,18833238
2020-12-27,18959735
2020-12-28,19201773
2020-12-29,19460991
2020-12-30,19743342
2020-12-31,19980329
2021-01-01,20145536
2021-01-02,20378433
2021-01-03,20605299
