,0
2020-06-01,1762529.0
2020-06-02,1785424.0
2020-06-03,1804340.0
2020-06-04,1825083.0
2020-06-05,1846878.0
2020-06-06,1868250.0
2020-06-07,1890173.0
2020-06-08,1919057.0
2020-06-09,1942844.0
2020-06-10,1961192.0
2020-06-11,1977756.0
2020-06-12,1997208.0
2020-06-13,2019231.0
2020-06-14,2042796.0
2020-06-15,2068797.0
2020-06-16,2095714.0
2020-06-17,2116683.0
2020-06-18,2135801.0
2020-06-19,2163908.0
2020-06-20,2191156.0
2020-06-21,2221307.0
2020-06-22,2255640.0
2020-06-23,2290523.0
2020-06-24,2319028.0
2020-06-25,2346696.0
2020-06-26,2384860.0
2020-06-27,2425731.0
2020-06-28,2469820.0
2020-06-29,2519457.0
2020-06-30,2566991.0
2020-07-01,2608875.0
2020-07-02,2644956.0
2020-07-03,2694312.0
2020-07-04,2748327.0
2020-07-05,2806125.0
2020-07-06,2866754.0
2020-07-07,2918327.0
2020-07-08,2961395.0
2020-07-09,3005789.0
2020-07-10,3063072.0
2020-07-11,3126511.0
2020-07-12,3192412.0
2020-07-13,3262685.0
2020-07-14,3328112.0
2020-07-15,3387712.0
2020-07-16,3442018.0
2020-07-17,3511610.0
2020-07-18,3577705.0
2020-07-19,3650129.0
2020-07-20,3729460.0
2020-07-21,3796034.0
2020-07-22,3856816.0
2020-07-23,3911651.0
2020-07-24,3976266.0
2020-07-25,4042729.0
2020-07-26,4110042.0
2020-07-27,4183500.0
2020-07-28,4247760.0
2020-07-29,4303499.0
2020-07-30,4354188.0
2020-07-31,4414944.0
2020-08-01,4478146.0
2020-08-02,4544039.0
2020-08-03,4610541.0
2020-08-04,4670339.0
2020-08-05,4719867.0
2020-08-06,4760076.0
2020-08-07,4814830.0
2020-08-08,4870082.0
2020-08-09,4924448.0
2020-08-10,4984543.0
2020-08-11,5037296.0
2020-08-12,5082446.0
2020-08-13,5118655.0
2020-08-14,5168334.0
2020-08-15,5219825.0
2020-08-16,5269001.0
2020-08-17,5321261.0
2020-08-18,5369778.0
2020-08-19,5406755.0
2020-08-20,5441156.0
2020-08-21,5482489.0
2020-08-22,5526317.0
2020-08-23,5568617.0
2020-08-24,5614820.0
2020-08-25,5657641.0
2020-08-26,5689908.0
2020-08-27,5723072.0
2020-08-28,5762129.0
2020-08-29,5807342.0
2020-08-30,5851905.0
2020-08-31,5896714.0
2020-09-01,5938481.0
2020-09-02,5972021.0
2020-09-03,6003057.0
2020-09-04,6044910.0
2020-09-05,6084681.0
2020-09-06,6127125.0
2020-09-07,6175066.0
