,0
2020-06-01,102450.0
2020-06-02,103480.0
2020-06-03,104456.0
2020-06-04,105403.0
2020-06-05,106330.0
2020-06-06,107247.0
2020-06-07,108139.0
2020-06-08,109016.0
2020-06-09,109854.0
2020-06-10,110676.0
2020-06-11,111480.0
2020-06-12,112237.0
2020-06-13,112995.0
2020-06-14,113747.0
2020-06-15,114475.0
2020-06-16,115175.0
2020-06-17,115859.0
2020-06-18,116520.0
2020-06-19,117179.0
2020-06-20,117812.0
2020-06-21,118436.0
2020-06-22,119053.0
2020-06-23,119684.0
2020-06-24,120312.0
2020-06-25,120935.0
2020-06-26,121546.0
2020-06-27,122426.0
2020-06-28,123308.0
2020-06-29,124195.0
2020-06-30,125156.0
2020-07-01,126118.0
2020-07-02,127085.0
2020-07-03,128065.0
2020-07-04,128760.0
2020-07-05,129459.0
2020-07-06,130167.0
2020-07-07,130823.0
2020-07-08,131500.0
2020-07-09,132224.0
2020-07-10,132971.0
2020-07-11,133766.0
2020-07-12,134606.0
2020-07-13,135459.0
2020-07-14,136320.0
2020-07-15,137200.0
2020-07-16,138086.0
2020-07-17,138981.0
2020-07-18,139903.0
2020-07-19,140827.0
2020-07-20,141766.0
2020-07-21,142726.0
2020-07-22,143700.0
2020-07-23,144699.0
2020-07-24,145753.0
2020-07-25,146793.0
2020-07-26,147835.0
2020-07-27,148883.0
2020-07-28,149850.0
2020-07-29,150925.0
2020-07-30,152026.0
2020-07-31,153113.0
2020-08-01,154234.0
2020-08-02,155347.0
2020-08-03,156443.0
2020-08-04,157626.0
2020-08-05,158715.0
2020-08-06,159772.0
2020-08-07,160818.0
2020-08-08,161847.0
2020-08-09,162891.0
2020-08-10,163940.0
2020-08-11,165000.0
2020-08-12,166071.0
2020-08-13,167123.0
2020-08-14,168145.0
2020-08-15,169189.0
2020-08-16,170215.0
2020-08-17,171233.0
2020-08-18,172215.0
2020-08-19,173167.0
2020-08-20,174115.0
2020-08-21,175053.0
2020-08-22,175963.0
2020-08-23,176856.0
2020-08-24,177739.0
2020-08-25,178614.0
2020-08-26,179516.0
2020-08-27,180403.0
2020-08-28,181288.0
2020-08-29,182165.0
2020-08-30,183037.0
2020-08-31,183917.0
2020-09-01,184788.0
2020-09-02,185599.0
2020-09-03,186398.0
2020-09-04,187183.0
2020-09-05,187950.0
2020-09-06,188717.0
2020-09-07,189450.0
2020-09-08,190104.0
2020-09-09,190773.0
2020-09-10,191461.0
2020-09-11,192163.0
2020-09-12,192842.0
2020-09-13,193515.0
2020-09-14,194203.0
2020-09-15,194967.0
2020-09-16,195741.0
2020-09-17,196486.0
2020-09-18,197216.0
2020-09-19,197950.0
2020-09-20,198672.0
2020-09-21,199379.0
2020-09-22,200066.0
2020-09-23,200749.0
2020-09-24,201440.0
2020-09-25,202130.0
2020-09-26,202834.0
2020-09-27,203531.0
2020-09-28,204227.0
2020-09-29,204910.0
2020-09-30,205574.0
2020-10-01,206231.0
2020-10-02,206887.0
2020-10-03,207535.0
2020-10-04,208193.0
2020-10-05,208837.0
2020-10-06,209503.0
2020-10-07,210158.0
2020-10-08,210820.0
2020-10-09,211498.0
2020-10-10,212167.0
2020-10-11,212867.0
2020-10-12,213585.0
2020-10-13,214283.0
2020-10-14,214950.0
2020-10-15,215659.0
2020-10-16,216355.0
2020-10-17,217062.0
2020-10-18,217750.0
2020-10-19,218478.0
2020-10-20,219235.0
2020-10-21,220054.0
2020-10-22,220845.0
2020-10-23,221659.0
2020-10-24,222479.0
2020-10-25,223298.0
2020-10-26,224133.0
2020-10-27,224967.0
2020-10-28,225785.0
2020-10-29,226620.0
2020-10-30,227447.0
2020-10-31,228306.0
2020-11-01,229174.0
2020-11-02,230028.0
2020-11-03,230934.0
2020-11-04,231873.0
2020-11-05,232870.0
2020-11-06,233903.0
2020-11-07,234951.0
2020-11-08,236022.0
2020-11-09,237154.0
2020-11-10,238288.0
2020-11-11,239476.0
2020-11-12,240622.0
2020-11-13,241785.0
2020-11-14,243004.0
2020-11-15,244240.0
2020-11-16,245454.0
2020-11-17,246701.0
2020-11-18,247997.0
2020-11-19,249436.0
2020-11-20,250935.0
2020-11-21,252446.0
2020-11-22,254018.0
2020-11-23,255693.0
2020-11-24,257422.0
2020-11-25,259193.0
2020-11-26,260854.0
2020-11-27,262485.0
2020-11-28,264145.0
2020-11-29,265782.0
2020-11-30,267418.0
2020-12-01,269118.0
2020-12-02,270887.0
2020-12-03,272836.0
2020-12-04,274939.0
2020-12-05,277181.0
2020-12-06,279465.0
2020-12-07,281771.0
2020-12-08,284087.0
2020-12-09,286477.0
2020-12-10,288888.0
2020-12-11,291432.0
2020-12-12,293977.0
2020-12-13,296582.0
2020-12-14,299228.0
2020-12-15,301936.0
2020-12-16,304671.0
2020-12-17,307479.0
2020-12-18,310204.0
2020-12-19,312999.0
2020-12-20,315830.0
2020-12-21,318648.0
2020-12-22,321427.0
2020-12-23,324168.0
2020-12-24,326910.0
2020-12-25,329405.0
2020-12-26,331749.0
2020-12-27,334048.0
2020-12-28,336620.0
2020-12-29,339363.0
2020-12-30,342174.0
2020-12-31,345026.0
2021-01-01,348095.0
2021-01-02,351335.0
2021-01-03,354670.0
