,0
2020-06-01,102860.0
2020-06-02,103717.0
2020-06-03,104339.0
2020-06-04,105073.0
2020-06-05,106295.0
2020-06-06,107283.0
2020-06-07,108255.0
2020-06-08,109350.0
2020-06-09,110131.0
2020-06-10,110589.0
2020-06-11,111212.0
2020-06-12,112156.0
2020-06-13,113037.0
2020-06-14,113883.0
2020-06-15,114649.0
2020-06-16,115439.0
2020-06-17,115851.0
2020-06-18,116310.0
2020-06-19,117058.0
2020-06-20,117826.0
2020-06-21,118505.0
2020-06-22,119264.0
2020-06-23,119869.0
2020-06-24,120217.0
2020-06-25,120632.0
2020-06-26,121473.0
2020-06-27,122223.0
2020-06-28,122864.0
2020-06-29,123546.0
2020-06-30,126025.0
2020-07-01,126394.0
2020-07-02,126840.0
2020-07-03,128197.0
2020-07-04,128962.0
2020-07-05,129630.0
2020-07-06,130406.0
2020-07-07,130890.0
2020-07-08,131290.0
2020-07-09,131791.0
2020-07-10,132795.0
2020-07-11,133698.0
2020-07-12,134701.0
2020-07-13,135632.0
2020-07-14,136457.0
2020-07-15,137167.0
2020-07-16,137763.0
2020-07-17,138819.0
2020-07-18,139860.0
2020-07-19,140903.0
2020-07-20,141901.0
2020-07-21,142911.0
2020-07-22,143630.0
2020-07-23,144338.0
2020-07-24,145536.0
2020-07-25,146682.0
2020-07-26,147898.0
2020-07-27,149273.0
2020-07-28,150192.0
2020-07-29,150928.0
2020-07-30,151670.0
2020-07-31,152307.0
2020-08-01,154207.0
2020-08-02,155603.0
2020-08-03,156886.0
2020-08-04,158038.0
2020-08-05,158716.0
2020-08-06,159346.0
2020-08-07,160587.0
2020-08-08,161831.0
2020-08-09,162998.0
2020-08-10,164211.0
2020-08-11,165239.0
2020-08-12,166028.0
2020-08-13,166687.0
2020-08-14,168005.0
2020-08-15,169328.0
2020-08-16,170366.0
2020-08-17,171362.0
2020-08-18,172546.0
2020-08-19,173212.0
2020-08-20,173809.0
2020-08-21,174880.0
2020-08-22,175991.0
2020-08-23,177002.0
2020-08-24,177929.0
2020-08-25,178918.0
2020-08-26,179465.0
2020-08-27,179988.0
2020-08-28,181006.0
2020-08-29,182304.0
2020-08-30,183212.0
2020-08-31,184120.0
2020-09-01,185062.0
2020-09-02,185567.0
2020-09-03,186151.0
2020-09-04,187103.0
2020-09-05,187981.0
2020-09-06,188801.0
2020-09-07,189613.0
2020-09-08,190435.0
2020-09-09,190933.0
2020-09-10,191287.0
2020-09-11,191678.0
2020-09-12,192665.0
2020-09-13,193619.0
2020-09-14,194521.0
2020-09-15,195194.0
2020-09-16,195644.0
2020-09-17,196097.0
2020-09-18,197029.0
2020-09-19,198080.0
2020-09-20,198834.0
2020-09-21,199632.0
2020-09-22,200332.0
2020-09-23,200699.0
2020-09-24,201050.0
2020-09-25,201833.0
2020-09-26,202860.0
2020-09-27,203674.0
2020-09-28,204462.0
2020-09-29,205260.0
2020-09-30,205577.0
2020-10-01,205926.0
2020-10-02,206611.0
2020-10-03,207510.0
2020-10-04,208272.0
2020-10-05,209055.0
2020-10-06,209794.0
2020-10-07,210180.0
2020-10-08,210434.0
2020-10-09,211276.0
2020-10-10,212096.0
2020-10-11,212902.0
2020-10-12,213801.0
2020-10-13,214479.0
2020-10-14,215078.0
2020-10-15,215462.0
2020-10-16,216160.0
2020-10-17,216771.0
2020-10-18,217861.0
2020-10-19,218676.0
2020-10-20,219427.0
2020-10-21,219891.0
2020-10-22,220561.0
2020-10-23,221459.0
2020-10-24,222501.0
2020-10-25,223401.0
2020-10-26,224370.0
2020-10-27,225171.0
2020-10-28,225625.0
2020-10-29,226403.0
2020-10-30,227299.0
2020-10-31,228225.0
2020-11-01,229250.0
2020-11-02,230156.0
2020-11-03,231187.0
2020-11-04,231696.0
2020-11-05,232382.0
2020-11-06,233642.0
2020-11-07,234795.0
2020-11-08,236235.0
2020-11-09,237381.0
2020-11-10,238528.0
2020-11-11,239188.0
2020-11-12,240311.0
2020-11-13,241577.0
2020-11-14,243111.0
2020-11-15,244259.0
2020-11-16,245518.0
2020-11-17,247065.0
2020-11-18,247841.0
2020-11-19,248807.0
2020-11-20,250307.0
2020-11-21,252183.0
2020-11-22,254330.0
2020-11-23,256011.0
2020-11-24,257645.0
2020-11-25,258842.0
2020-11-26,260531.0
2020-11-27,262413.0
2020-11-28,264581.0
2020-11-29,265955.0
2020-11-30,267428.0
2020-12-01,269266.0
2020-12-02,270297.0
2020-12-03,271983.0
2020-12-04,274317.0
2020-12-05,276961.0
2020-12-06,279600.0
2020-12-07,282149.0
2020-12-08,284958.0
2020-12-09,286289.0
2020-12-10,288120.0
2020-12-11,290534.0
2020-12-12,293686.0
2020-12-13,296483.0
2020-12-14,299951.0
2020-12-15,302779.0
2020-12-16,304522.0
2020-12-17,306639.0
2020-12-18,309493.0
2020-12-19,312833.0
2020-12-20,316133.0
2020-12-21,319032.0
2020-12-22,322343.0
2020-12-23,324336.0
2020-12-24,326365.0
2020-12-25,328950.0
2020-12-26,332017.0
2020-12-27,335328.0
2020-12-28,336496.0
2020-12-29,338748.0
2020-12-30,340430.0
2020-12-31,344373.0
2021-01-01,348147.0
2021-01-02,351694.0
2021-01-03,355294.0
