,0
2020-05-25,98399
2020-05-26,99085
2020-05-27,100450
2020-05-28,101628
2020-05-29,102860
2020-05-30,103717
2020-05-31,104339
2020-06-01,105073
2020-06-02,106295
2020-06-03,107283
2020-06-04,108255
2020-06-05,109350
2020-06-06,110131
2020-06-07,110589
2020-06-08,111212
2020-06-09,112156
2020-06-10,113037
2020-06-11,113883
2020-06-12,114649
2020-06-13,115439
2020-06-14,115851
2020-06-15,116310
2020-06-16,117058
2020-06-17,117826
2020-06-18,118505
2020-06-19,119264
2020-06-20,119869
2020-06-21,120217
2020-06-22,120632
2020-06-23,121473
2020-06-24,122223
2020-06-25,122864
2020-06-26,123546
2020-06-27,126025
2020-06-28,126394
2020-06-29,126840
2020-06-30,128197
2020-07-01,128962
2020-07-02,129630
2020-07-03,130406
2020-07-04,130890
2020-07-05,131290
2020-07-06,131791
2020-07-07,132795
2020-07-08,133698
2020-07-09,134701
2020-07-10,135632
2020-07-11,136457
2020-07-12,137167
2020-07-13,137763
2020-07-14,138819
2020-07-15,139860
2020-07-16,140903
2020-07-17,141901
2020-07-18,142911
2020-07-19,143630
2020-07-20,144338
2020-07-21,145536
2020-07-22,146682
2020-07-23,147898
2020-07-24,149273
2020-07-25,150192
2020-07-26,150928
2020-07-27,151670
2020-07-28,152307
2020-07-29,154207
2020-07-30,155603
2020-07-31,156886
2020-08-01,158038
2020-08-02,158716
2020-08-03,159346
2020-08-04,160587
2020-08-05,161831
2020-08-06,162998
2020-08-07,164211
2020-08-08,165239
2020-08-09,166028
2020-08-10,166687
2020-08-11,168005
2020-08-12,169328
2020-08-13,170366
2020-08-14,171362
2020-08-15,172546
2020-08-16,173212
2020-08-17,173809
2020-08-18,174880
2020-08-19,175991
2020-08-20,177002
2020-08-21,177929
2020-08-22,178918
2020-08-23,179465
2020-08-24,179988
2020-08-25,181006
2020-08-26,182304
2020-08-27,183212
2020-08-28,184120
2020-08-29,185062
2020-08-30,185567
2020-08-31,186151
2020-09-01,187103
2020-09-02,187981
2020-09-03,188801
2020-09-04,189613
2020-09-05,190435
2020-09-06,190933
2020-09-07,191287
2020-09-08,191678
2020-09-09,192665
2020-09-10,193619
2020-09-11,194521
2020-09-12,195194
2020-09-13,195644
2020-09-14,196097
2020-09-15,197029
2020-09-16,198080
2020-09-17,198834
2020-09-18,199632
2020-09-19,200332
2020-09-20,200699
2020-09-21,201050
2020-09-22,201833
2020-09-23,202860
2020-09-24,203674
2020-09-25,204462
2020-09-26,205260
2020-09-27,205577
2020-09-28,205926
2020-09-29,206611
2020-09-30,207510
2020-10-01,208272
2020-10-02,209055
2020-10-03,209794
2020-10-04,210180
2020-10-05,210434
2020-10-06,211276
2020-10-07,212096
2020-10-08,212902
2020-10-09,213801
2020-10-10,214479
2020-10-11,215078
2020-10-12,215462
2020-10-13,216160
2020-10-14,216771
2020-10-15,217861
2020-10-16,218676
2020-10-17,219427
2020-10-18,219891
2020-10-19,220561
2020-10-20,221459
2020-10-21,222501
2020-10-22,223401
2020-10-23,224370
2020-10-24,225171
2020-10-25,225625
2020-10-26,226403
2020-10-27,227299
2020-10-28,228225
2020-10-29,229250
2020-10-30,230156
2020-10-31,231187
2020-11-01,231696
2020-11-02,232382
2020-11-03,233642
2020-11-04,234795
2020-11-05,236235
2020-11-06,237381
2020-11-07,238528
2020-11-08,239188
2020-11-09,240311
2020-11-10,241577
2020-11-11,243111
2020-11-12,244259
2020-11-13,245518
2020-11-14,247065
2020-11-15,247841
2020-11-16,248807
2020-11-17,250307
2020-11-18,252183
2020-11-19,254330
2020-11-20,256011
2020-11-21,257645
2020-11-22,258842
2020-11-23,260531
2020-11-24,262413
2020-11-25,264581
2020-11-26,265955
2020-11-27,267428
2020-11-28,269266
2020-11-29,270297
2020-11-30,271983
2020-12-01,274317
2020-12-02,276961
2020-12-03,279600
2020-12-04,282149
2020-12-05,284958
2020-12-06,286289
2020-12-07,288120
2020-12-08,290534
2020-12-09,293686
2020-12-10,296483
2020-12-11,299951
2020-12-12,302779
2020-12-13,304522
2020-12-14,306639
2020-12-15,309493
2020-12-16,312833
2020-12-17,316133
2020-12-18,319032
2020-12-19,322343
2020-12-20,324336
2020-12-21,326365
2020-12-22,328950
2020-12-23,332017
2020-12-24,335328
2020-12-25,336496
2020-12-26,338748
2020-12-27,340430
2020-12-28,344373
2020-12-29,348147
2020-12-30,351694
2020-12-31,355294
2021-01-01,357978
2021-01-02,361430
2021-01-03,363775
